PersonID,Age,Sex,RuralStatus
10330822,Between 35 and 49 years old,Female,Small metro
10330904,Between 35 and 49 years old,Female,Large Metro
10330932,Between 50 and 64 years old,Female,Large Metro
10333028,12 or 13 years old,Male,Large Metro
10333251,Between 26 and 29 years old,Female,Small metro
10333466,Between 18 and 20 years old,Male,Small metro
10333580,Between 50 and 64 years old,Female,Small metro
10334016,Between 26 and 29 years old,Female,Nonmetro
10334276,Between 35 and 49 years old,Female,Small metro
10334303,Between 18 and 20 years old,Female,Small metro
10335806,16 or 17 years old,Female,Large Metro
10336067,Between 35 and 49 years old,Female,Large Metro
10336175,24 or 25 years old,Female,Small metro
10336194,12 or 13 years old,Female,Large Metro
10336315,12 or 13 years old,Female,Small metro
10338320,Between 21 and 23 years old,Male,Large Metro
10338765,24 or 25 years old,Female,Large Metro
10339788,16 or 17 years old,Male,Nonmetro
10339889,12 or 13 years old,Male,Nonmetro
10340184,Between 18 and 20 years old,Female,Large Metro
10341598,Between 35 and 49 years old,Male,Small metro
10341721,65 years old or older,Female,Small metro
10343717,Between 21 and 23 years old,Female,Large Metro
10343818,16 or 17 years old,Male,Small metro
10343950,12 or 13 years old,Female,Large Metro
10344154,Between 50 and 64 years old,Female,Large Metro
10345008,65 years old or older,Female,Small metro
10347016,Between 18 and 20 years old,Female,Small metro
10347722,65 years old or older,Male,Small metro
10349759,Between 30 and 34 years old,Male,Large Metro
10351050,Between 26 and 29 years old,Female,Large Metro
10352509,Between 50 and 64 years old,Male,Large Metro
10352562,Between 26 and 29 years old,Female,Nonmetro
10352810,Between 26 and 29 years old,Male,Large Metro
10352932,Between 30 and 34 years old,Female,Large Metro
10354777,16 or 17 years old,Female,Nonmetro
10355398,65 years old or older,Female,Large Metro
10355817,12 or 13 years old,Female,Large Metro
10360280,16 or 17 years old,Male,Small metro
10361917,14 or 15 years old,Female,Small metro
10362202,Between 30 and 34 years old,Male,Small metro
10362556,16 or 17 years old,Male,Small metro
10363136,Between 21 and 23 years old,Female,Small metro
10363424,Between 35 and 49 years old,Female,Large Metro
10364165,Between 30 and 34 years old,Female,Small metro
10364359,16 or 17 years old,Female,Nonmetro
10368107,Between 21 and 23 years old,Male,Small metro
10368332,Between 18 and 20 years old,Female,Small metro
10368579,Between 30 and 34 years old,Male,Small metro
10369770,14 or 15 years old,Male,Nonmetro
10370399,Between 21 and 23 years old,Female,Small metro
10371165,Between 26 and 29 years old,Male,Small metro
10371394,65 years old or older,Female,Large Metro
10371511,Between 30 and 34 years old,Male,Large Metro
10372015,Between 21 and 23 years old,Male,Large Metro
10372016,Between 30 and 34 years old,Female,Large Metro
10372774,Between 18 and 20 years old,Female,Nonmetro
10373044,Between 50 and 64 years old,Female,Large Metro
10373366,Between 35 and 49 years old,Female,Large Metro
10374536,14 or 15 years old,Male,Large Metro
10374794,Between 18 and 20 years old,Female,Large Metro
10374798,Between 35 and 49 years old,Male,Small metro
10375870,Between 30 and 34 years old,Female,Large Metro
10376684,65 years old or older,Female,Nonmetro
10376805,Between 35 and 49 years old,Male,Nonmetro
10377860,Between 35 and 49 years old,Female,Small metro
10379614,14 or 15 years old,Female,Large Metro
10379741,65 years old or older,Male,Small metro
10380060,Between 35 and 49 years old,Male,Large Metro
10380816,Between 21 and 23 years old,Female,Large Metro
10381011,Between 21 and 23 years old,Male,Large Metro
10381193,14 or 15 years old,Male,Nonmetro
10381282,65 years old or older,Male,Small metro
10382289,Between 35 and 49 years old,Female,Large Metro
10383246,16 or 17 years old,Male,Large Metro
10383904,Between 50 and 64 years old,Male,Nonmetro
10384081,65 years old or older,Female,Large Metro
10384841,12 or 13 years old,Male,Small metro
10385498,Between 35 and 49 years old,Female,Large Metro
10385664,Between 30 and 34 years old,Female,Large Metro
10386440,Between 26 and 29 years old,Female,Small metro
10387993,Between 30 and 34 years old,Female,Small metro
10388307,Between 35 and 49 years old,Female,Small metro
10388323,Between 35 and 49 years old,Female,Small metro
10388543,Between 26 and 29 years old,Female,Small metro
10389266,Between 50 and 64 years old,Female,Nonmetro
10390149,Between 50 and 64 years old,Male,Small metro
10392051,24 or 25 years old,Female,Small metro
10392295,12 or 13 years old,Male,Large Metro
10393059,Between 21 and 23 years old,Female,Small metro
10393707,65 years old or older,Male,Nonmetro
10393741,65 years old or older,Male,Large Metro
10393752,Between 35 and 49 years old,Male,Large Metro
10393916,12 or 13 years old,Female,Small metro
10394328,Between 50 and 64 years old,Male,Large Metro
10394387,16 or 17 years old,Female,Small metro
10395049,Between 35 and 49 years old,Male,Small metro
10395059,Between 21 and 23 years old,Male,Nonmetro
10395158,14 or 15 years old,Male,Large Metro
10395186,14 or 15 years old,Male,Nonmetro
10395533,16 or 17 years old,Female,Nonmetro
10396137,Between 50 and 64 years old,Male,Small metro
